source,structure,design_U_W_m2K,structure_description,detached_house,terraced_house,apartment_block,office_building,service_building,communal_building,structure_notes
ETOL_1900,DH_EW_log,0.76,"Solid 150 mm log wall, no additional insulation, no notable exterior or interior finish",1,1,,,1,1,"Detached house, 1½ floors, log frame, -1920"
ETOL_1900,DH_SF_log,,"Log supported separating floor, wood chip and sawdust insulation with sand, boarding finish",1,1,1,1,1,1,"Detached house, 1½ floors, log frame, -1920"
ETOL_1900,DH_R_log,0.41,"Log supported attic floor,  wood chip and sawdust insulation with sand, roof supports and boarding",1,1,,,1,1,"Detached house, 1½ floors, log frame, -1920"
ETOL_1900,DH_BF_log,0.47,"Log supported floor, wood chip and sawdust insulation with sand, ventilated crawl space",1,1,1,1,1,1,"Detached house, 1½ floors, log frame, -1920"
ETOL_1900,DH_PW_log,,Solid log walls for load-bearing partition walls,1,1,,,1,1,"Detached house, 1½ floors, log frame, -1920"
ETOL_1900,DH_PW_timber,,Timber frame light partition wall with boarding,1,1,1,1,1,1,"Detached house, 1½ floors, log frame, -1920"
ETOL_1900,AB_EW_brick,1.11,Solid 600 mm brick wall,,,1,1,1,1,"Apartment block, 4 floors, brick frame, -1920"
ETOL_1900,AB_R_log,0.41,"Log supported attic floor,  wood chip and sawdust insulation with sand, brick flooring, roof supports and boarding",,,1,1,1,1,"Detached house, 1½ floors, log frame, -1920, with brick fireproofing often required for large buildings"
ETOL_1900,AB_BF_brick,0.64,Brick arch floor over basement,,,1,1,1,1,"Apartment block, 4 floors, brick frame, -1920"
ETOL_1900,AB_PW_brick,,"Brick partition walls, thickness varies between load-bearing and non-load bearing walls.",,,1,1,1,1,"Apartment block, 4 floors, brick frame, -1920"
ETOL_1920,DH_EW_log,0.55,"Solid 200 mm log wall, no additional insulation, boarding finish",1,1,1,1,1,1,"Detached house, 1½ floors, timber frame, 1921-1945"
ETOL_1920,DH_SF_timber,,"Timber frame separating floor, wood chip and sawdust insulation with sand, boarding finish",1,1,1,1,1,1,"Detached house, 1½ floors, timber frame, 1921-1945"
ETOL_1920,DH_R_timber,0.45,"Timber supported attic floor, 150 mm  wood chip and sawdust insulation with sand, roof supports and boarding",1,1,,,1,1,"Detached house, 1½ floors, timber frame, 1921-1945"
ETOL_1920,DH_BF_timber_b,0.33,"Timber supported floor, 200 mm wood chip and sawdust insulation with sand, basement",1,1,,,1,1,"Detached house, 1½ floors + basement, timber frame, 1921-1945"
ETOL_1920,DH_BF_timber,0.33,"Timber supported floor, 200 mm wood chip and sawdust insulation with sand, ventilated crawl space",1,1,,,1,1,"Detached house, 1½ floors, timber frame, 1921-1945"
ETOL_1920,DH_PW_log,,Solid log walls for load-bearing partition walls,1,1,1,1,1,1,"Detached house, 1½ floors, timber frame, 1921-1945"
ETOL_1920,DH_PW_timber,,Timber frame light partition wall with boarding,1,1,1,1,1,1,"Detached house, 1½ floors, timber frame, 1921-1945"
ETOL_1920,AB_EW_brick,1.11,Solid 600 mm brick wall,,,1,1,1,1,Based on the 1920 structures
