source,structure,structure_type,layer_id,layer_weight,layer_number,layer_minimum_thickness_mm,layer_load_bearing_thickness_mm,layer_tag,structure_material,layer_notes
ETOL_1900,DH_SF_log,separating_floor,1,0.25,0,150,,load-bearing structure,wood,150x175 k 600 logs estimated
ETOL_1900,DH_SF_log,separating_floor,2,0.75,0,150,,soundproofing,wood chips and sawdust,
ETOL_1900,DH_SF_log,separating_floor,3,0.25,1,25,,load-bearing structure,wood,150x175 k 600 logs estimated
ETOL_1900,DH_SF_log,separating_floor,4,0.75,1,25,,weight,sand,
ETOL_1900,DH_SF_log,separating_floor,5,1,2,20,,exterior finish,wood,20x100 floor boards estimated
ETOL_1900,DH_SF_log,separating_floor,6,1,-1,0,,filter,cardboard,
ETOL_1900,DH_SF_log,separating_floor,7,1,-2,20,,interior finish,wood,20x100 ceiling boards estimated
ETOL_1900,DH_R_log,roof,8,0.25,0,150,,load-bearing structure,wood,150x175 k 600 logs estimated
ETOL_1900,DH_R_log,roof,9,0.75,0,150,,thermal insulation,wood chips and sawdust,
ETOL_1900,DH_R_log,roof,10,0.25,1,25,,load-bearing structure,wood,150x175 k 600 logs estimated
ETOL_1900,DH_R_log,roof,11,0.75,1,25,,weight,sand,
ETOL_1900,DH_R_log,roof,12,1,2,20,,boarding,wood,attic floor
ETOL_1900,DH_R_log,roof,13,1,3,100,,ventilation space,ventilation space,
ETOL_1900,DH_R_log,roof,14,0.08333333333333333,4,100,,roof supports,wood,50x100 k 600 estimated
ETOL_1900,DH_R_log,roof,15,0.9166666666666666,4,100,,ventilation space,ventilation space,
ETOL_1900,DH_R_log,roof,16,1,5,20,,boarding,wood,
ETOL_1900,DH_R_log,roof,17,1,6,0,,exterior finish,none,roofing
ETOL_1900,DH_R_log,roof,18,1,-1,0,,filter,cardboard,
ETOL_1900,DH_R_log,roof,19,1,-2,20,,interior finish,wood,ceiling
ETOL_1900,DH_PW_timber,partition_wall,20,0.08333333333333333,0,100,100,load-bearing structure,wood,50x100 k 600 timber frame assumed
ETOL_1900,DH_PW_timber,partition_wall,21,0.9166666666666666,0,100,100,ventilation space,ventilation space,
ETOL_1900,DH_PW_timber,partition_wall,22,1,1,20,,exterior finish,wood,20x100 boarding assumed
ETOL_1900,DH_PW_timber,partition_wall,23,1,-1,20,,interior finish,wood,20x100 boarding assumed
ETOL_1900,DH_PW_log,partition_wall,24,1,0,150,150,load-bearing structure,wood,150x175 logs assumed
ETOL_1900,DH_PW_log,partition_wall,25,1,1,0,,exterior finish,none,
ETOL_1900,DH_PW_log,partition_wall,26,1,-1,0,,interior finish,none,
ETOL_1900,DH_EW_log,exterior_wall,27,1,0,150,150,load-bearing structure,wood,"solid log wall, thickness of 150 mm estimated"
ETOL_1900,DH_EW_log,exterior_wall,28,1,1,0,,exterior finish,none,
ETOL_1900,DH_EW_log,exterior_wall,29,1,-1,0,,interior finish,none,
ETOL_1900,DH_BF_log,base_floor,30,0.25,0,150,,load-bearing structure,wood,150x175 k 600 logs estimated
ETOL_1900,DH_BF_log,base_floor,31,0.75,0,150,,thermal insulation,wood chips and sawdust,
ETOL_1900,DH_BF_log,base_floor,32,1,1,0,,filter,cardboard,
ETOL_1900,DH_BF_log,base_floor,33,1,2,20,,boarding,wood,20x100 boards estimated
ETOL_1900,DH_BF_log,base_floor,34,1,3,0,,exterior finish,none,
ETOL_1900,DH_BF_log,base_floor,35,0.25,-1,25,,weight,sand,
ETOL_1900,DH_BF_log,base_floor,36,0.75,-1,25,,load-bearing structure,wood,150x175 k 600 logs estimated
